Time,JumpHeight
0.0,0.0
0.01,0.007999967871614944
0.02,0.015967807358203356
0.03,0.02390351845976524
0.04,0.03180710117630048
0.05,0.0396785555078093
0.06,0.047517881454291366
0.07,0.055325079015747014
0.08,0.06310014819217602
0.09,0.0708430889835785
0.1,0.07855390138995433
0.11,0.08623258541130363
0.12,0.0938791410476264
0.13,0.10149356829892264
0.14,0.10907586716519224
0.15,0.11662603764643509
0.16,0.12414407974265151
0.17,0.13162999345384152
0.18,0.13908377878000477
0.19,0.1465054357211416
0.2,0.1538949642772518
0.21,0.16125236444833546
0.22,0.1685776362343926
0.23,0.17587077963542308
0.24,0.18313179465142704
0.25,0.19036068128240446
0.26,0.19755743952835525
0.27,0.2047220693892795
0.28,0.21185457086517723
0.29,0.21895494395604842
0.3,0.22602318866189297
0.31,0.233059304982711
0.32,0.24006329291850237
0.33,0.24703515246926722
0.34,0.25397488363500553
0.35000000000000003,0.2608824864157171
0.36,0.26775796081140224
0.37,0.27460130682206085
0.38,0.2814125244476928
0.39,0.2881916136882984
0.4,0.2949385745438773
0.41000000000000003,0.30165340701442955
0.42,0.3083361110999553
0.43,0.3149866868004545
0.44,0.32160513411592717
0.45,0.3281914530463732
0.46,0.3347456435917927
0.47000000000000003,0.3412677057521857
0.48,0.347757639527552
0.49,0.3542154449178918
0.5,0.3606411219232051
0.51,0.3670346705434918
0.52,0.3733960907787519
0.53,0.37972538262898536
0.54,0.3860225460941924
0.55,0.3922875811743728
0.56,0.39852048786952665
0.5700000000000001,0.40472126617965387
0.58,0.41088991610475456
0.59,0.4170264376448287
0.6,0.42313083079987635
0.61,0.42920309556989733
0.62,0.4352432319548918
0.63,0.4412512399548597
0.64,0.447227119569801
0.65,0.45317087079971574
0.66,0.45908249364460385
0.67,0.46496198810446554
0.68,0.4708093541793006
0.6900000000000001,0.476624591869109
0.7000000000000001,0.48240770117389076
0.71,0.4881586820936461
0.72,0.4938775346283749
0.73,0.4995642587780771
0.74,0.5052188545427527
0.75,0.510841321922402
0.76,0.5164316609170244
0.77,0.5219898715266204
0.78,0.5275159537511898
0.79,0.5330099075907325
0.8,0.5384717330452489
0.81,0.5439014301147385
0.8200000000000001,0.5492989987992016
0.8300000000000001,0.5546644390986382
0.84,0.5599977510130482
0.85,0.5652989345424315
0.86,0.5705679896867883
0.87,0.5758049164461188
0.88,0.5810097148204224
0.89,0.5861823848096996
0.9,0.5913229264139501
0.91,0.5964313396331741
0.92,0.6015076244673716
0.93,0.6065517809165424
0.9400000000000001,0.6115638089806867
0.9500000000000001,0.6165437086598045
0.96,0.6214914799538958
0.97,0.6264071228629603
0.98,0.6312906373869984
0.99,0.6361420235260099
1.0,0.6409612812799947
1.01,0.6457484106489532
1.02,0.6505034116328849
1.03,0.6552262842317902
1.04,0.6599170284456688
1.05,0.664575644274521
1.06,0.6692021317183465
1.07,0.6737964907771454
1.08,0.6783587214509179
1.09,0.6828888237396638
1.1,0.687386797643383
1.11,0.6918526431620757
1.12,0.6962863602957419
1.1300000000000001,0.7006879490443814
1.1400000000000001,0.7050574094079944
1.1500000000000001,0.7093947413865809
1.16,0.7136999449801407
1.17,0.717973020188674
1.18,0.7222139670121805
1.19,0.7264227854506609
1.2,0.7305994755041143
1.21,0.7347440371725416
1.22,0.7388564704559419
1.23,0.7429367753543159
1.24,0.7469849518676631
1.25,0.751000999995984
1.26,0.7549849197392782
1.27,0.7589367110975458
1.28,0.7628563740707868
1.29,0.7667439086590013
1.3,0.7705993148621892
1.31,0.7744225926803506
1.32,0.7782137421134855
1.33,0.7819727631615937
1.34,0.7856996558246754
1.35,0.7893944201027305
1.36,0.793057055995759
1.37,0.796687563503761
1.3800000000000001,0.8002859426267365
1.3900000000000001,0.8038521933646853
1.4000000000000001,0.8073863157176074
1.41,0.8108883096855033
1.42,0.8143581752683724
1.43,0.817795912466215
1.44,0.8212015212790309
1.45,0.8245750017068205
1.46,0.8279163537495833
1.47,0.8312255774073196
1.48,0.8345026726800293
1.49,0.8377476395677126
1.5,0.8409604780703691
1.51,0.8441411881879992
1.52,0.8472897699206027
1.53,0.8504062232681796
1.54,0.85349054823073
1.55,0.8565427448082538
1.56,0.859562813000751
1.57,0.8625507528082217
1.58,0.8655065642306657
1.59,0.8684302472680833
1.6,0.8713218019204743
1.61,0.8741812281878386
1.62,0.8770085260701764
1.6300000000000001,0.8798036955674877
1.6400000000000001,0.8825667366797724
1.6500000000000001,0.8852976494070305
1.6600000000000001,0.8879964337492621
1.67,0.890663089706467
1.68,0.8932976172786454
1.69,0.8959000164657973
1.7,0.8984702872679227
1.71,0.9010084296850213
1.72,0.9035144437170936
1.73,0.9059883293641391
1.74,0.9084300866261581
1.75,0.9108397155031506
1.76,0.9132172159951165
1.77,0.9155625881020558
1.78,0.9178758318239686
1.79,0.9201569471608547
1.8,0.9224059341127144
1.81,0.9246227926795474
1.82,0.9268075228613539
1.83,0.9289601246581338
1.84,0.9310805980698873
1.85,0.933168943096614
1.86,0.9352251597383143
1.87,0.937249247994988
1.8800000000000001,0.939241207866635
1.8900000000000001,0.9412010393532556
1.9000000000000001,0.9431287424548496
1.9100000000000001,0.945024317171417
1.92,0.9468877635029578
1.93,0.948719081449472
1.94,0.9505182710109598
1.95,0.9522853321874208
1.96,0.9540202649788555
1.97,0.9557230693852634
1.98,0.957393745406645
1.99,0.9590322930429998
2.0,0.9606387122943281
2.0100000000000002,0.9622130031606299
2.02,0.9637551656419051
2.0300000000000002,0.9652651997381536
2.04,0.9667431054493757
2.05,0.9681888827755711
